date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:53:10	8588/8588	---M-Z	200	added ('OK')	text/html	date:Thu,%2028%20May%202020%2010:38:08%20GMT	https://covidrobots.org/instalacion/1/instalacion/index.html	C:/Mis%20lugares%20Web/COVID%20ROBOTS/covidrobots.org/instalacion/1/instalacion/index.html	(from )
19:53:11	1102/1102	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2028%20May%202020%2010:38:08%20GMT	https://covidrobots.org/robots.txt		(from )
19:53:11	10283/10283	---M-Z	200	added ('OK')	text/html	date:Thu,%2028%20May%202020%2010:38:08%20GMT	https://covidrobots.org/instalacion/1/instalacion/espacio.html	C:/Mis%20lugares%20Web/COVID%20ROBOTS/covidrobots.org/instalacion/1/instalacion/espacio.html	(from https://covidrobots.org/instalacion/1/instalacion/index.html)
19:53:12	27326/27326	---M-Z	200	added ('OK')	text/css	date:Thu,%2028%20May%202020%2010:38:08%20GMT	https://covidrobots.org/_/css/site.css	C:/Mis%20lugares%20Web/COVID%20ROBOTS/covidrobots.org/_/css/site.css	(from https://covidrobots.org/instalacion/1/instalacion/index.html)
19:53:15	16453/16453	---M-Z	200	added ('OK')	text/html	date:Thu,%2028%20May%202020%2010:38:08%20GMT	https://covidrobots.org/instalacion/1/instalacion/desembalado.html	C:/Mis%20lugares%20Web/COVID%20ROBOTS/covidrobots.org/instalacion/1/instalacion/desembalado.html	(from https://covidrobots.org/instalacion/1/instalacion/index.html)
19:53:15	61312/61312	---M-Z	200	added ('OK')	image/jpeg	date:Thu,%2028%20May%202020%2010:38:08%20GMT	https://covidrobots.org/_/img/logo.jpg	C:/Mis%20lugares%20Web/COVID%20ROBOTS/covidrobots.org/_/img/logo.jpg	(from https://covidrobots.org/instalacion/1/instalacion/index.html)
19:53:16	16099/16099	---M-Z	200	added ('OK')	text/html	date:Thu,%2028%20May%202020%2010:38:08%20GMT	https://covidrobots.org/instalacion/1/instalacion/desbloqueo.html	C:/Mis%20lugares%20Web/COVID%20ROBOTS/covidrobots.org/instalacion/1/instalacion/desbloqueo.html	(from https://covidrobots.org/instalacion/1/instalacion/index.html)
19:53:16	12223/12223	---M-Z	200	added ('OK')	text/html	date:Thu,%2028%20May%202020%2010:38:08%20GMT	https://covidrobots.org/instalacion/1/instalacion/pc.html	C:/Mis%20lugares%20Web/COVID%20ROBOTS/covidrobots.org/instalacion/1/instalacion/pc.html	(from https://covidrobots.org/instalacion/1/instalacion/index.html)
19:53:17	35562/35562	---M-Z	200	added ('OK')	text/html	date:Thu,%2028%20May%202020%2010:38:08%20GMT	https://covidrobots.org/instalacion/1/instalacion/conexion.html	C:/Mis%20lugares%20Web/COVID%20ROBOTS/covidrobots.org/instalacion/1/instalacion/conexion.html	(from https://covidrobots.org/instalacion/1/instalacion/index.html)
19:53:17	18748/18748	---M-Z	200	added ('OK')	text/html	date:Thu,%2028%20May%202020%2010:38:08%20GMT	https://covidrobots.org/instalacion/1/instalacion/pipetas.html	C:/Mis%20lugares%20Web/COVID%20ROBOTS/covidrobots.org/instalacion/1/instalacion/pipetas.html	(from https://covidrobots.org/instalacion/1/instalacion/index.html)
19:53:17	11783/11783	---M-Z	200	added ('OK')	text/html	date:Thu,%2028%20May%202020%2010:38:08%20GMT	https://covidrobots.org/instalacion/1/instalacion/modulos.html	C:/Mis%20lugares%20Web/COVID%20ROBOTS/covidrobots.org/instalacion/1/instalacion/modulos.html	(from https://covidrobots.org/instalacion/1/instalacion/index.html)
19:53:18	22684/22684	---M-Z	200	added ('OK')	text/html	date:Thu,%2028%20May%202020%2010:38:08%20GMT	https://covidrobots.org/instalacion/1/instalacion/calibracion.html	C:/Mis%20lugares%20Web/COVID%20ROBOTS/covidrobots.org/instalacion/1/instalacion/calibracion.html	(from https://covidrobots.org/instalacion/1/instalacion/index.html)
19:53:18	6493/6493	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2028%20May%202020%2010:38:08%20GMT	https://covidrobots.org/_/js/site.js	C:/Mis%20lugares%20Web/COVID%20ROBOTS/covidrobots.org/_/js/site.js	(from https://covidrobots.org/instalacion/1/instalacion/index.html)
19:53:19	77117/77117	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2028%20May%202020%2010:38:08%20GMT	https://covidrobots.org/_/js/vendor/highlight.js	C:/Mis%20lugares%20Web/COVID%20ROBOTS/covidrobots.org/_/js/vendor/highlight.js	(from https://covidrobots.org/instalacion/1/instalacion/index.html)
19:53:54	6021155/6021155	---M-Z	200	added ('OK')	image/gif	date:Thu,%2028%20May%202020%2010:38:08%20GMT	https://covidrobots.org/instalacion/1/instalacion/_images/unbox-01.gif	C:/Mis%20lugares%20Web/COVID%20ROBOTS/covidrobots.org/instalacion/1/instalacion/_images/unbox-01.gif	(from https://covidrobots.org/instalacion/1/instalacion/desembalado.html)
19:54:01	1514258/1514258	---M-Z	200	added ('OK')	image/gif	date:Thu,%2028%20May%202020%2010:38:08%20GMT	https://covidrobots.org/instalacion/1/instalacion/_images/unbox-04.gif	C:/Mis%20lugares%20Web/COVID%20ROBOTS/covidrobots.org/instalacion/1/instalacion/_images/unbox-04.gif	(from https://covidrobots.org/instalacion/1/instalacion/desembalado.html)
19:54:12	7746582/7746582	---M-Z	200	added ('OK')	image/gif	date:Thu,%2028%20May%202020%2010:38:08%20GMT	https://covidrobots.org/instalacion/1/instalacion/_images/unbox-03.gif	C:/Mis%20lugares%20Web/COVID%20ROBOTS/covidrobots.org/instalacion/1/instalacion/_images/unbox-03.gif	(from https://covidrobots.org/instalacion/1/instalacion/desembalado.html)
19:54:13	1956095/1956095	---M-Z	200	added ('OK')	image/gif	date:Thu,%2028%20May%202020%2010:38:08%20GMT	https://covidrobots.org/instalacion/1/instalacion/_images/unbox-05.gif	C:/Mis%20lugares%20Web/COVID%20ROBOTS/covidrobots.org/instalacion/1/instalacion/_images/unbox-05.gif	(from https://covidrobots.org/instalacion/1/instalacion/desembalado.html)
